username,is active,followers in list,weight,status
Raleigh_CA,1,35,1.131000268,
dTAOfordummies,1,35,1.131000268,
axionyu,1,35,1.131000268,
macrozack,1,35,1.131000268,
TAOSynergies,1,35,1.131000268,
SiliconJose,1,35,1.131000268,
SatoshiFlipper,1,34,1.098685975,
the_mattyk,1,34,1.098685975,
yanez__ai,1,34,1.098685975,
MartiniGuyYT,1,33,1.066371681,
ChurchOfRao,1,33,1.066371681,
gmoneyNFT,1,32,1.034057388,
philism_,1,30,0.969428801,
chiefingza,1,30,0.969428801,
Investing88ai,1,30,0.969428801,
NeuralAl,1,30,0.969428801,
LunarCrush,1,29,0.937114508,
Degen_Hardy,1,28,0.904800215,
NATIXNetwork,1,28,0.904800215,
TedPillows,1,28,0.904800215,
princeharry_za,1,27,0.872485921,
SafelloAB,1,27,0.872485921,
_g_x_g,1,27,0.872485921,
calanthiaaa,1,27,0.872485921,
Phonger24,1,26,0.840171628,
TeamRizzoAI,1,26,0.840171628,
inspectxyz,1,26,0.840171628,
taocat_agent,1,25,0.807857334,
jkrdoc,1,24,0.775543041,
CryptoReviewing,1,24,0.775543041,
officialneeve,1,24,0.775543041,
hyperlane,1,23,0.743228748,
JohnnyZcash,1,22,0.710914454,
YVR_Trader,1,22,0.710914454,
_olaige,1,22,0.710914454,
torcon,1,21,0.678600161,
TheTNetHunter,1,21,0.678600161,
ProfFahdKhan,1,20,0.646285868,
vaNtastiq420,1,20,0.646285868,
UpholdInc,1,19,0.613971574,
Hercules_Defi,1,18,0.581657281,
nicrypto,1,18,0.581657281,
shugoio,1,18,0.581657281,
Victor_crypto_,1,17,0.549342987,
TheEuroSniper,1,17,0.549342987,
boz_menzalji,1,17,0.549342987,
v_truba,1,17,0.549342987,
flickyobean,1,17,0.549342987,
Pritensor,1,16,0.517028694,
GeckoTerminal,1,16,0.517028694,
cryptoboys27,1,16,0.517028694,
zeus_decrypt,1,16,0.517028694,
belizardd,1,15,0.484714401,
Senti__23,1,15,0.484714401,
synapz_org,1,14,0.452400107,
GenomesDAO,1,14,0.452400107,
degenrsc,1,14,0.452400107,
leomercier,1,14,0.452400107,
PrudentSammy,1,13,0.420085814,
bd_himes,1,13,0.420085814,
FortKnoxCrypto,1,13,0.420085814,
raintures,1,13,0.420085814,
Defi_Edward,1,12,0.387771521,
TAOlie_SOL,1,12,0.387771521,
checkerchain,1,11,0.355457227,
Vayu108,1,11,0.355457227,
3DMax_Virtuals,1,11,0.355457227,
CipherResearchx,1,11,0.355457227,
crypto_ideology,1,10,0.323142934,
decodejar,1,10,0.323142934,
KryptoInsider1,1,10,0.323142934,
bonoliverdev,1,10,0.323142934,
King_69NFT,1,9,0.29082864,
BatTecking,1,9,0.29082864,
CryptoHub210,1,9,0.29082864,
AskCryptoWealth,1,9,0.29082864,
AltcoinEagle,1,9,0.29082864,
bittensor_memes,1,8,0.258514347,
MylesMcNulty,1,8,0.258514347,
DannyRose143,1,8,0.258514347,
zero_chance009,1,8,0.258514347,
Smudgedann,1,8,0.258514347,
Ebubechi_GMI,1,7,0.226200054,
qqquint,1,7,0.226200054,
0xMrMarx,1,7,0.226200054,
BlueWolfNFTs,1,7,0.226200054,
CoinLiquidity,1,6,0.19388576,
rick_shares,1,6,0.19388576,
KeatlyKHZ,1,6,0.19388576,
rosauce39,1,6,0.19388576,
0000ALCI,1,6,0.19388576,
kriptomete_,1,5,0.161571467,
CopperHQ,1,5,0.161571467,
cryptosanthoshK,1,5,0.161571467,
Cryptoo_Gems,1,5,0.161571467,
chain_broker,1,5,0.161571467,
Robin25461631,1,5,0.161571467,
heroman0x,1,5,0.161571467,
Phyrex_Ni,1,5,0.161571467,
BabblerBestBets,1,4,0.129257174,
linity_com,1,4,0.129257174,
DeepFakeAI_,1,4,0.129257174,
borsaressami,1,4,0.129257174,
NFTLunatic,1,4,0.129257174,
polkaguy,1,4,0.129257174,
MattBroniarek,1,4,0.129257174,
ustadsplinter34,1,4,0.129257174,
InvestingNate,1,4,0.129257174,
Module8514,1,4,0.129257174,
Maximize_AI,1,4,0.129257174,
TCVNcommunity,1,3,0.09694288,
esper1971,1,3,0.09694288,
cihan0xeth,1,3,0.09694288,
LordBadshot,1,3,0.09694288,
dippy_eth,1,3,0.09694288,
m2globalmoney,1,3,0.09694288,
BTCmask_AI,1,3,0.09694288,
trish_regan,1,3,0.09694288,
BGameAlliance,1,3,0.09694288,
Suleman72514927,1,3,0.09694288,
rogermoonCrypto,1,3,0.09694288,
0xrodrigorom,1,3,0.09694288,
Danny_Crypton,1,3,0.09694288,
MaxCryptoSpace,1,3,0.09694288,
minjung315,1,3,0.09694288,
greencandle5,1,2,0.064628587,
coinagend,1,2,0.064628587,
CryptoFuegoYT,1,2,0.064628587,
Crypto_Blueboy,1,2,0.064628587,
AndreaCapellin4,1,2,0.064628587,
pedro_silvapt,1,2,0.064628587,
Carloxir,1,2,0.064628587,
Presto_Research,1,2,0.064628587,
shafaq39,1,2,0.064628587,
Agent_T_A_O_S,1,2,0.064628587,
drocksAlexx2,1,1,0.032314293,
KakiKripto,1,1,0.032314293,
plexaibt_,1,1,0.032314293,
NadinNumberOne_,1,1,0.032314293,
Simulacra333,1,1,0.032314293,
0xbeinginvested,1,1,0.032314293,
StudentBodyPres,1,1,0.032314293,
cryptosplashbro,1,1,0.032314293,
LarrytheTyrant,1,1,0.032314293,
djmusicmaxx,1,1,0.032314293,
zannyABS,1,1,0.032314293,
Polkadot_ERI,1,1,0.032314293,
wolftensor,0,0,0,This account doesn’t exist
thegrizzlytorso,0,0,0,This account doesn’t exist
Vagospi06,0,0,0,Account suspended
RyanBequette,0,0,0,This account doesn’t exist
0xSkol,0,0,0,This account doesn’t exist
